Date,Total_Revenue,Total_Orders,Avg_Freight_Ratio,Daily_AOV,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7d,DayOfWeek,Is_Weekend,DayOfMonth,Month
2016-10-06,7960.51,49,0.28945583523847146,162.45938775510206,8343.25,72.89,2730.721428571429,3,0,6,10
2016-10-07,7228.05,45,0.23040673007977974,160.62333333333333,7960.51,59.5,3857.524285714286,4,0,7,10
2016-10-08,8441.85,40,0.2662272051457698,211.04625000000001,7228.05,134.97,4881.602857142857,5,1,8,10
2016-10-09,3336.9900000000002,26,0.34796772441659324,128.34576923076924,8441.85,100.0,6068.300000000001,6,1,9,10
2016-10-10,3692.57,37,0.40191595021891474,99.79918918918919,3336.9900000000002,463.48,6530.727142857143,0,0,10,10
2016-12-23,10.9,1,0.8,10.9,3692.57,9940.960000000001,6992.025714285715,4,0,23,12
2017-01-05,396.9,32,0.9322605768459282,12.403125,10.9,8343.25,5573.4457142857145,3,0,5,1
2017-01-06,916.38,4,0.3311502443947922,229.095,396.9,7960.51,4438.2528571428575,4,0,6,1
2017-01-07,1351.9,4,0.12933703329370397,337.975,916.38,7228.05,3431.948571428572,5,1,7,1
2017-01-08,709.58,6,0.3321228310346273,118.26333333333334,1351.9,8441.85,2592.4985714285717,6,1,8,1
2017-01-09,673.79,5,0.3876160865494998,134.75799999999998,709.58,3336.9900000000002,1487.8885714285716,0,0,9,1
2017-01-10,1434.87,6,0.19332032423799117,239.14499999999998,673.79,3692.57,1107.4314285714286,1,0,10,1
2017-01-11,2776.16,12,0.2692807418725188,231.34666666666666,1434.87,10.9,784.9028571428571,2,0,11,1
2017-01-12,2234.58,13,0.30616433800788817,171.89076923076922,2776.16,396.9,1179.94,3,0,12,1
2017-01-13,2505.58,11,0.15191795909188602,227.78,2234.58,916.38,1442.465714285714,4,0,13,1
2017-01-14,1112.69,18,0.4030717966365607,61.81611111111111,2505.58,1351.9,1669.4942857142855,5,1,14,1
2017-01-15,2199.57,14,0.3791013776724984,157.11214285714286,1112.69,709.58,1635.3214285714282,6,1,15,1
2017-01-16,3307.92,19,0.2838333455597224,174.10105263157894,2199.57,673.79,1848.1771428571426,0,0,16,1
2017-01-17,3302.5299999999997,32,0.30440106616407003,103.20406249999999,3307.92,1434.87,2224.4814285714283,1,0,17,1
2017-01-18,4032.36,33,0.38274690097946606,122.19272727272728,3302.5299999999997,2776.16,2491.29,2,0,18,1
2017-01-19,3553.95,29,0.3602563665267547,122.55,4032.36,2234.58,2670.747142857143,3,0,19,1
2017-01-20,4035.83,28,0.3161195451963744,144.1367857142857,3553.95,2505.58,2859.2285714285713,4,0,20,1
2017-01-21,2458.6,24,0.4234587781326794,102.44166666666666,4035.83,1112.69,3077.8357142857144,5,1,21,1
2017-01-22,3619.27,30,0.2865977264283074,120.64233333333333,2458.6,2199.57,3270.1085714285714,6,1,22,1
2017-01-23,6581.47,39,0.3748515998363416,168.75564102564104,3619.27,3307.92,3472.922857142857,0,0,23,1
2017-01-24,5955.17,40,0.24243034507018232,148.87925,6581.47,3302.5299999999997,3940.5728571428576,1,0,24,1
2017-01-25,8977.23,62,0.30112201818202167,144.7940322580645,5955.17,4032.36,4319.521428571429,2,0,25,1
2017-01-26,13157.66,85,0.36237055381459177,154.796,8977.23,3553.95,5025.931428571429,3,0,26,1
2017-01-27,11432.95,61,0.31673433488924796,187.4254098360656,13157.66,4035.83,6397.889999999999,4,0,27,1
2017-01-28,5211.01,29,0.4275200280484387,179.69,11432.95,2458.6,7454.621428571429,5,1,28,1
2017-01-29,6457.66,35,0.19827639164939287,184.50457142857144,5211.01,3619.27,7847.822857142857,6,1,29,1
2017-01-30,10801.130000000001,51,0.23315056070396467,211.78686274509806,6457.66,6581.47,8253.307142857144,0,0,30,1
2017-01-31,11116.13,67,0.3081358993060841,165.91238805970147,10801.130000000001,5955.17,8856.115714285716,1,0,31,1
2017-02-01,8219.75,67,0.3247337877167691,122.68283582089552,11116.13,8977.23,9593.395714285713,2,0,1,2
2017-02-02,8917.64,68,0.35308513031304994,131.14176470588234,8219.75,13157.66,9485.184285714287,3,0,2,2
2017-02-03,10183.74,57,0.3236939461320263,178.66210526315788,8917.64,11432.95,8879.467142857142,4,0,3,2
2017-02-04,13968.16,66,0.24020407366774282,211.63878787878787,10183.74,5211.01,8701.00857142857,5,1,4,2
2017-02-05,8503.79,75,0.3292414440870131,113.38386666666668,13968.16,6457.66,9952.029999999999,6,1,5,2
2017-02-06,9539.44,81,0.3644059296911449,117.77086419753087,8503.79,10801.130000000001,10244.334285714285,0,0,6,2
2017-02-07,14143.48,111,0.2955990587532346,127.41873873873874,9539.44,11116.13,10064.092857142856,1,0,7,2
2017-02-08,11958.27,90,0.36184512336241814,132.86966666666666,14143.48,8219.75,10496.57142857143,2,0,8,2
2017-02-09,9190.29,77,0.31490150721448107,119.35441558441559,11958.27,8917.64,11030.645714285714,3,0,9,2
2017-02-10,14222.64,66,0.2751465158042106,215.49454545454546,9190.29,10183.74,11069.595714285713,4,0,10,2
2017-02-11,4307.56,45,0.4132972645480435,95.72355555555556,14222.64,13968.16,11646.581428571428,5,1,11,2
2017-02-12,15126.15,63,0.3044336667494158,240.09761904761905,4307.56,8503.79,10266.495714285715,6,1,12,2
2017-02-13,10785.15,76,0.3917242246786495,141.90986842105264,15126.15,9539.44,11212.547142857144,0,0,13,2
2017-02-14,12694.11,71,0.3160029708511285,178.79028169014086,10785.15,14143.48,11390.505714285713,1,0,14,2
2017-02-15,6770.15,60,0.31771026477556097,112.83583333333333,12694.11,11958.27,11183.452857142856,2,0,15,2
2017-02-16,6348.04,52,0.2990238053422642,122.0776923076923,6770.15,9190.29,10442.292857142855,3,0,16,2
2017-02-17,6801.26,45,0.29028123200473566,151.1391111111111,6348.04,14222.64,10036.257142857143,4,0,17,2
2017-02-18,7297.33,52,0.3587429138670567,140.33326923076922,6801.26,4307.56,8976.060000000001,5,1,18,2
2017-02-19,3797.9,40,0.35239313692714846,94.9475,7297.33,15126.15,9403.17,6,1,19,2
2017-02-20,7878.3,63,0.38427168396845257,125.05238095238096,3797.9,10785.15,7784.848571428572,0,0,20,2
2017-02-21,8285.64,41,0.39320484459504484,202.08878048780485,7878.3,12694.11,7369.584285714286,1,0,21,2
2017-02-22,8033.05,61,0.4148605802357548,131.6893442622951,8285.64,6770.15,6739.802857142858,2,0,22,2
2017-02-23,6940.82,59,0.33927518896406594,117.64101694915254,8033.05,6348.04,6920.217142857143,3,0,23,2
2017-02-24,6682.21,62,0.37307387964995437,107.7775806451613,6940.82,6801.26,7004.9,4,0,24,2
2017-02-25,4196.59,42,0.32150399585961154,99.91880952380953,6682.21,7297.33,6987.892857142857,5,1,25,2
2017-02-26,5446.68,45,0.5746498770745652,121.03733333333334,4196.59,3797.9,6544.93,6,1,26,2
